"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"unclassified","Style Abby","1920s black lace night robe","1647243493","1920s Black Lace Night Robe [T]","1647242489","1920s Black Lace Night Robe [B]","14","https://tr.rbxcdn.com/180DAY-f8ccecceb12a23a494c8c34e6e31a5d8/420/420/Shirt/Png/noFilter","#A8A8A4","#4C393C","#857778","https://www.roblox.com/catalog/1647243493","https://www.roblox.com/catalog/1647242489"
"unclassified","Style Abby","1960s pink buttoned day dress","1454131841","1960s Pink Buttoned Day Dress [T]","1454131232","1960s Pink Buttoned Day Dress [B]","14","https://tr.rbxcdn.com/180DAY-10930ee2f9c0ef82f055d5fbf2eaab6a/420/420/Shirt/Png/noFilter","#AAA9A4","#996C68","#D0918A","https://www.roblox.com/catalog/1454131841","https://www.roblox.com/catalog/1454131232"
"unclassified","Style Abby","1900s ash day suit","2879223529","1900s Ash Day Suit [T]","2879224038","1900s Ash Day Suit [B]","12","https://tr.rbxcdn.com/180DAY-03200f79065928e0e95c57dde08bca89/420/420/Shirt/Png/noFilter","#272727","#A7A7A3","#7D7C7A","https://www.roblox.com/catalog/2879223529","https://www.roblox.com/catalog/2879224038"
"unclassified","Style Abby","1920s fur","2529098147","1920s Fur Top Coat [T]","2529097142","1920s Fur Top Coat [B]","30","https://tr.rbxcdn.com/180DAY-f3189ee53b0249bdfd0413a632dc2433/420/420/Shirt/Png/noFilter","#88806B","#AAA9A1","#4C473A","https://www.roblox.com/catalog/2529098147","https://www.roblox.com/catalog/2529097142"
"unclassified","Style Abby","1960s abstract dress","1544032978","1960s Abstract Dress [Black] [T]","1544032022","1960s Abstract Dress [Black] [B]","16","https://tr.rbxcdn.com/180DAY-c9987992401e9030e6207381b79d8bbe/420/420/Shirt/Png/noFilter","#181818","#A8A8A4","#82827F","https://www.roblox.com/catalog/1544032978","https://www.roblox.com/catalog/1544032022"
"unclassified","Style Abby","1960s abstract dress","1544032978","1960s Abstract Dress [Black] [T]","1544032292","1960s Abstract Dress [VVine] [B]","16","https://tr.rbxcdn.com/180DAY-c9987992401e9030e6207381b79d8bbe/420/420/Shirt/Png/noFilter","#181818","#A8A8A4","#82827F","https://www.roblox.com/catalog/1544032978","https://www.roblox.com/catalog/1544032292"
"unclassified","Style Abby","1960s abstract dress","1544033211","1960s Abstract Dress [VVine] [T]","1544032022","1960s Abstract Dress [Black] [B]","16","https://tr.rbxcdn.com/180DAY-c3b3381064a5ec1e3aa635915436a04e/420/420/Shirt/Png/noFilter","#231515","#A8A8A4","#82817E","https://www.roblox.com/catalog/1544033211","https://www.roblox.com/catalog/1544032022"
"unclassified","Style Abby","1960s abstract dress","1544033211","1960s Abstract Dress [VVine] [T]","1544032292","1960s Abstract Dress [VVine] [B]","16","https://tr.rbxcdn.com/180DAY-c3b3381064a5ec1e3aa635915436a04e/420/420/Shirt/Png/noFilter","#231515","#A8A8A4","#82817E","https://www.roblox.com/catalog/1544033211","https://www.roblox.com/catalog/1544032292"
"unclassified","Style Abby","1910s navy dressing robe","6485823294","1910s Navy Dressing Robe [T]","6485822215","1910s Navy Dressing Robe [B]","14","https://tr.rbxcdn.com/180DAY-f9d1db0f2b114de764aa852c524b8049/420/420/Shirt/Png/noFilter","#ABAAA6","#2B3347","#838281","https://www.roblox.com/catalog/6485823294","https://www.roblox.com/catalog/6485822215"
"unclassified","Style Abby","1910s navy striped day suit","6472876128","1910s Navy Striped Day Suit [T]","6472855497","1910s Navy Striped Day Suit [B]","14","https://tr.rbxcdn.com/180DAY-3bf896dd7bbc8588913748fed990a827/420/420/Shirt/Png/noFilter","#ABAAA6","#2B2C44","#818181","https://www.roblox.com/catalog/6472876128","https://www.roblox.com/catalog/6472855497"
"unclassified","Style Abby","1900s dusty orange breezy day dress","2879052381","1900s Dusty Orange Breezy Day Dress [T]","2879052999","1900s Dusty Orange Breezy Day Dress [B]","16","https://tr.rbxcdn.com/180DAY-c3c706be168728579ead28a1d1daf51d/420/420/Shirt/Png/noFilter","#98826D","#A6A5A0","#D8BA9D","https://www.roblox.com/catalog/2879052381","https://www.roblox.com/catalog/2879052999"
"unclassified","Style Abby","1900s dusty pink day","2878824084","1900s Dusty Pink Day Coat [T]","2878824690","1900s Dusty Pink Day Coat [B]","16","https://tr.rbxcdn.com/180DAY-100adb448af8d331092b26684562a347/420/420/Shirt/Png/noFilter","#A09195","#7F7376","#1E1D1D","https://www.roblox.com/catalog/2878824084","https://www.roblox.com/catalog/2878824690"
"unclassified","Style Abby","sa ww1 covered evening tailcoat","9208467349","SA | WW1 Covered Evening Tailcoat ","9218547247","SA | WW1 Covered Evening Tailcoat (Ivory)","14","https://tr.rbxcdn.com/180DAY-83535586ca3918e7b8236619b5af3878/420/420/Shirt/Png/noFilter","#ABAAA6","#333333","#848380","https://www.roblox.com/catalog/9208467349","https://www.roblox.com/catalog/9218547247"
